age;workclass;education;marital;occupation;relationship;race;sex;capital-gain;capital-loss;hours-per-week;native-country;sal
[33, 41[;gov;niveau_superieur;married;qualification_moyenne;Not-in-family;White;Male;gain;pas_perte;<40;United-States;<=50K
>50];self_worker;niveau_superieur;married;qualification_haute;Husband;White;Male;pas_gain;pas_perte;<40;United-States;<=50K
[33, 41[;Private;primaire_secondaire;Divorced;qualification_faible;Not-in-family;White;Male;pas_gain;pas_perte;<40;United-States;<=50K
>50];Private;primaire_secondaire;married;qualification_faible;Husband;Black;Male;pas_gain;pas_perte;<40;United-States;<=50K
[26,33[;Private;niveau_superieur;married;qualification_haute;Wife;Black;Female;pas_gain;pas_perte;<40;Cuba;<=50K
[33, 41[;Private;niveau_superieur;married;qualification_haute;Wife;White;Female;pas_gain;pas_perte;<40;United-States;<=50K
[41,50[;Private;primaire_secondaire;married;qualification_faible;Not-in-family;Black;Female;pas_gain;pas_perte;<40;Jamaica;<=50K
>50];self_worker;primaire_secondaire;married;qualification_haute;Husband;White;Male;pas_gain;pas_perte;>40;United-States;>50K
[26,33[;Private;niveau_superieur;married;qualification_haute;Not-in-family;White;Female;gain;pas_perte;>40;United-States;>50K
[41,50[;Private;niveau_superieur;married;qualification_haute;Husband;White;Male;gain;pas_perte;<40;United-States;>50K
[33, 41[;Private;primaire_secondaire;married;qualification_haute;Husband;Black;Male;pas_gain;pas_perte;>40;United-States;>50K
[26,33[;gov;niveau_superieur;married;qualification_haute;Husband;Asian-Pac-Islander;Male;pas_gain;pas_perte;<40;India;>50K
[17,26[;Private;niveau_superieur;married;qualification_moyenne;Own-child;White;Female;pas_gain;pas_perte;<40;United-States;<=50K
[26,33[;Private;niveau_intermediaire;married;qualification_moyenne;Not-in-family;Black;Male;pas_gain;pas_perte;>40;United-States;<=50K
[33, 41[;Private;niveau_intermediaire;married;qualification_faible;Husband;Asian-Pac-Islander;Male;pas_gain;pas_perte;<40;?;>50K
[33, 41[;Private;primaire_secondaire;married;qualification_moyenne;Husband;Amer-Indian-Eskimo;Male;pas_gain;pas_perte;>40;Mexico;<=50K
[17,26[;self_worker;primaire_secondaire;married;qualification_moyenne;Own-child;White;Male;pas_gain;pas_perte;<40;United-States;<=50K
[26,33[;Private;primaire_secondaire;married;qualification_moyenne;Unmarried;White;Male;pas_gain;pas_perte;<40;United-States;<=50K
[33, 41[;Private;primaire_secondaire;married;qualification_moyenne;Husband;White;Male;pas_gain;pas_perte;>40;United-States;<=50K
[41,50[;self_worker;niveau_superieur;Divorced;qualification_haute;Unmarried;White;Female;pas_gain;pas_perte;>40;United-States;>50K
[33, 41[;Private;niveau_superieur;married;qualification_haute;Husband;White;Male;pas_gain;pas_perte;>40;United-States;>50K
>50];Private;primaire_secondaire;Separated;qualification_faible;Unmarried;Black;Female;pas_gain;pas_perte;<40;United-States;<=50K
[33, 41[;gov;primaire_secondaire;married;qualification_moyenne;Husband;Black;Male;pas_gain;pas_perte;<40;United-States;<=50K
[41,50[;Private;primaire_secondaire;married;qualification_moyenne;Husband;White;Male;pas_gain;perte;<40;United-States;<=50K
>50];Private;primaire_secondaire;Divorced;qualification_moyenne;Unmarried;White;Female;pas_gain;pas_perte;<40;United-States;<=50K
>50];gov;niveau_superieur;married;qualification_moyenne;Husband;White;Male;pas_gain;pas_perte;<40;United-States;>50K
[17,26[;Private;primaire_secondaire;married;qualification_faible;Own-child;White;Male;pas_gain;pas_perte;<40;United-States;<=50K
>50];other;primaire_secondaire;married;Autre catégorie;Husband;Asian-Pac-Islander;Male;pas_gain;pas_perte;>40;South;>50K
[33, 41[;Private;primaire_secondaire;Divorced;qualification_haute;Not-in-family;White;Male;pas_gain;pas_perte;>40;United-States;<=50K
[41,50[;Private;primaire_secondaire;married;qualification_faible;Husband;White;Male;pas_gain;pas_perte;<40;United-States;<=50K
[17,26[;gov;niveau_intermediaire;married;qualification_faible;Not-in-family;White;Male;pas_gain;pas_perte;>40;United-States;<=50K
[17,26[;Private;primaire_secondaire;married;qualification_moyenne;Own-child;Black;Male;pas_gain;pas_perte;>40;United-States;<=50K
[41,50[;Private;niveau_superieur;Divorced;qualification_haute;Own-child;White;Male;pas_gain;perte;<40;United-States;<=50K
[26,33[;gov;primaire_secondaire;married;qualification_moyenne;Own-child;White;Male;pas_gain;pas_perte;<40;United-States;<=50K
[17,26[;gov;primaire_secondaire;married;qualification_faible;Husband;Black;Male;pas_gain;pas_perte;<40;United-States;<=50K
[41,50[;Private;primaire_secondaire;married;qualification_moyenne;Unmarried;White;Male;pas_gain;pas_perte;<40;Puerto-Rico;<=50K
[17,26[;Private;primaire_secondaire;married;qualification_moyenne;Own-child;White;Male;pas_gain;pas_perte;<40;United-States;<=50K
[17,26[;Private;primaire_secondaire;married;qualification_moyenne;Wife;White;Female;pas_gain;pas_perte;<40;United-States;<=50K
[26,33[;Private;primaire_secondaire;married;qualification_moyenne;Husband;White;Male;pas_gain;pas_perte;<40;?;>50K
[41,50[;self_worker;niveau_intermediaire;married;qualification_haute;Husband;White;Male;pas_gain;pas_perte;<40;United-States;<=50K
[26,33[;Private;primaire_secondaire;married;qualification_moyenne;Husband;White;Male;pas_gain;pas_perte;>40;United-States;<=50K
>50];self_worker;niveau_superieur;married;qualification_haute;Husband;White;Male;pas_gain;pas_perte;<40;United-States;<=50K
[17,26[;Private;niveau_superieur;married;qualification_moyenne;Husband;White;Male;pas_gain;pas_perte;>40;United-States;<=50K
[41,50[;Private;primaire_secondaire;Separated;qualification_moyenne;Unmarried;White;Female;pas_gain;pas_perte;<40;United-States;<=50K
[17,26[;Private;primaire_secondaire;married;qualification_faible;Not-in-family;White;Male;pas_gain;pas_perte;<40;United-States;<=50K
>50];gov;niveau_superieur;married;qualification_haute;Husband;Black;Male;pas_gain;pas_perte;<40;United-States;>50K
>50];Private;primaire_secondaire;married;qualification_moyenne;Husband;White;Male;pas_gain;pas_perte;<40;United-States;<=50K
[41,50[;Private;niveau_superieur;Divorced;qualification_haute;Unmarried;White;Female;pas_gain;pas_perte;<40;United-States;<=50K
[41,50[;gov;niveau_intermediaire;married;qualification_faible;Husband;White;Male;pas_gain;pas_perte;<40;United-States;<=50K
[26,33[;Private;niveau_intermediaire;married;qualification_haute;Not-in-family;White;Male;pas_gain;pas_perte;>40;United-States;<=50K
[17,26[;Private;primaire_secondaire;married;qualification_haute;Wife;Other;Female;pas_gain;pas_perte;<40;United-States;<=50K
[17,26[;Private;primaire_secondaire;married;qualification_faible;Own-child;White;Female;pas_gain;pas_perte;<40;?;<=50K
[41,50[;Private;NA;married;qualification_haute;Wife;White;Female;pas_gain;perte;>40;Honduras;>50K
>50];gov;niveau_superieur;Divorced;qualification_haute;Not-in-family;White;Male;pas_gain;pas_perte;>40;United-States;>50K
[41,50[;self_worker;primaire_secondaire;Divorced;qualification_haute;Not-in-family;White;Male;pas_gain;pas_perte;>40;United-States;<=50K
[41,50[;Private;primaire_secondaire;married;qualification_moyenne;Husband;White;Male;pas_gain;pas_perte;<40;United-States;>50K
[41,50[;Private;primaire_secondaire;married;qualification_moyenne;Husband;White;Male;pas_gain;pas_perte;<40;Mexico;<=50K
[33, 41[;Private;niveau_intermediaire;married;qualification_faible;Husband;White;Male;pas_gain;pas_perte;<40;Puerto-Rico;<=50K
